API;Интерфейс, используемый для создания веб-приложений.
Framework;Набор программ и компонентов, обычно используемых в разработке программного обеспечения.
Cache;Специальная область на диске или в операционной памяти компьютера, предназначенная для временного хранения информации и для часто используемых данных и команд.
Firewall;Система защиты защищенной сети от небезопасной.
Maintenance;Процесс непрерывного обеспечения бесперебойного и безопасного функционирования веб-сайта.
Resolution;По существу, насколько большим может быть изображение или графика на дисплее. 
Wireframe;Пустая структура сайта. Без шрифтов, цвета или изображений.
Agile;Гибкий подход к управлению проектами по разработке программного обеспечения (ПО), который часто применяют в небольших командах.
Cookies;Небольшой фрагмент данных, отправленный веб-сервером и хранимый на компьютере пользователя.
1;1
ааа;ааааа
ырар;ывкпып
